"_id","items","subtotal","tax","discount","total","paymentMethod","status","createdAt","updatedAt","__v","customer"
"688cb69e7d131627ab7d2174","[{""product"":""688cb6657d131627ab7d2161"",""quantity"":1,""price"":1,""_id"":""688cb69e7d131627ab7d2175""}]",1,0.05,0,1.05,"card","completed","2025-08-01T12:44:14.339Z","2025-08-01T12:44:14.343Z",0,
"688cb7c87d131627ab7d21d7","[{""product"":""688cb7b07d131627ab7d21c4"",""quantity"":1,""price"":99,""_id"":""688cb7c87d131627ab7d21d8""}]",99,4.95,0,103.95,"card","completed","2025-08-01T12:49:12.389Z","2025-08-01T12:49:12.395Z",0,
"688dfb7c781d5b760c894e1b","[{""product"":""688cc481660a99a5c3637522"",""quantity"":1,""price"":22,""_id"":""688dfb7c781d5b760c894e1c""}]",22,1.1,0,23.1,"cash","completed","2025-08-02T11:50:20.133Z","2025-08-02T11:50:20.157Z",0,
"688e0449d15bd7c0a891fb7e","[{""product"":""688cc481660a99a5c3637522"",""quantity"":1,""price"":22,""_id"":""688e0449d15bd7c0a891fb7f""}]",22,1.1,0,23.1,"cash","completed","2025-08-02T12:27:53.942Z","2025-08-02T12:27:53.963Z",0,
"688e078ac070503e24afecf3","[{""product"":""688cb7b07d131627ab7d21c4"",""quantity"":9,""price"":99,""_id"":""688e078ac070503e24afecf4""}]",891,44.550000000000004,20,915.55,"card","completed","2025-08-02T12:41:46.267Z","2025-08-02T12:41:46.341Z",0,
"688e097bc070503e24afee0b","[{""product"":""688cc481660a99a5c3637522"",""quantity"":2,""price"":22,""_id"":""688e097bc070503e24afee0c""}]",44,2.2,10,36.2,"card","completed","2025-08-02T12:50:03.847Z","2025-08-02T12:50:03.860Z",0,"688aacd0182b1dc74b4643f6"
"688e41f1f4ce249976c219bb","[{""product"":""688cb7b07d131627ab7d21c4"",""quantity"":1,""price"":99,""_id"":""688e41f1f4ce249976c219bc""}]",99,4.95,0,103.95,"card","completed","2025-08-02T16:50:57.084Z","2025-08-02T16:50:57.101Z",0,"688aacd0182b1dc74b4643f6"
"688e47c2f4ce249976c21bd8","[{""product"":""688e42fff4ce249976c21ae5"",""quantity"":4,""price"":50,""_id"":""688e47c2f4ce249976c21bd9""}]",200,10,0,210,"card","completed","2025-08-02T17:15:46.191Z","2025-08-02T17:15:46.206Z",0,"688aacd0182b1dc74b4643f6"
"688f9f3e1d169ad15a6e28b4","[{""product"":""688cb7b07d131627ab7d21c4"",""quantity"":3,""price"":99,""_id"":""688f9f3e1d169ad15a6e28b5""}]",297,14.850000000000001,0,311.85,"cash","completed","2025-08-03T17:41:18.865Z","2025-08-03T17:41:18.880Z",0,"688f78c4e08535e73af7d4b6"
"688fa0cc1d169ad15a6e28ba","[{""product"":""688e4397f4ce249976c21b4b"",""quantity"":2,""price"":70,""_id"":""688fa0cc1d169ad15a6e28bb""}]",140,7,0,147,"card","completed","2025-08-03T17:47:56.254Z","2025-08-03T17:47:56.264Z",0,"688f78c4e08535e73af7d4b6"
